FIPS,County,lungDeathPerYear,deathRate,pctSmokers,pctObese,foodEnvIdx,pctPhysInact,Population,numSr,percSr,healthCosts
19173,Taylor,5,52.7,19,30,8.4,24,6161,1284,20.8,9098
19175,Union,10,56.5,15,35,7.6,27,12583,2374,18.9,7079
19177,Van Buren,6,52.4,,31,4.6,29,7436,1524,20.5,8117
19179,Wapello,25,55.5,21,31,6.9,30,35391,5979,16.9,8694
19181,Warren,25,48.4,14,29,8.4,28,47336,6923,14.6,7703
19183,Washington,12,39.6,16,30,8.5,24,22015,4017,18.2,7250
19185,Wayne,4,41.2,20,32,6.7,26,6402,1440,22.5,9227
19187,Webster,23,46,20,28,7.3,25,37044,6353,17.1,8280
19189,Winnebago,8,51.5,10,33,8,30,10554,2135,20.2,7507
19191,Winneshiek,7,22.2,11,25,8.5,19,20994,3711,17.7,6573
19193,Woodbury,57,51.5,23,32,7,27,102130,13777,13.5,8590
19195,Worth,4,30.7,17,30,8.5,28,7541,1472,19.5,7681
19197,Wright,9,40.3,17,33,8.4,30,12972,2762,21.3,8982
